,project_id,pool_id,title,description,pool_startedAt,hasInstructions,mayContainAdultContent,requesterID,requesterTrusted,lang,grade,averageAcceptanceTimeSec,moneyAvgHourly,moneyMed,moneyTop10,moneyMax3,reward
20,21465,28393410,Модерация ссылок,Экзамен. В случае успешного прохождения вам будут доступны основные регулярные задания.,2021-10-04T13:11:32.000Z,1,0,eb869068a96b24bdd90fd387ef9addf8,1,,4.85,,0.605042,0.0,0.04,0.67,0.0
21,22039,30123885,Модерация сведений об образовании исполнителей,,2021-12-06T14:52:26.000Z,1,0,eb869068a96b24bdd90fd387ef9addf8,1,,4.92,,0.0,0.01,0.06,0.12,0.0
22,22228,33288787,Разметка вопроса на качество,Экзамен,2022-05-04T12:45:08.000Z,1,0,94b1d799b1430928f93f72191b1922b5,1,,4.85,,0.935065,0.0,0.0,,0.0
23,22597,27196667,Модерация описаний исполнителей,Экзамен.,2021-08-24T10:00:16.000Z,1,0,eb869068a96b24bdd90fd387ef9addf8,1,,4.87,,0.418605,0.04,0.16,0.61,0.0
24,22797,26108364,Модерация аватаров пользователей,Экзамен. Пропускать задания нельзя.,2022-02-05T17:00:12.000Z,1,1,eb869068a96b24bdd90fd387ef9addf8,1,,4.88,,0.734694,0.01,0.09,,0.0
25,23183,27230805,Модерация названий организаций,Экзамен,2022-04-06T10:01:17.000Z,1,0,eb869068a96b24bdd90fd387ef9addf8,1,,4.88,,0.537313,0.01,0.02,,0.0
26,25975,22297133,🚕 Проверка госномера ТС на фото,,2021-03-14T20:47:17.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,4.93,,0.0,0.04,0.53,2.07,0.0
27,25980,36249270,🚕 Проверка модели ТС на фото,,2022-11-08T14:53:03.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,4.89,,0.0,0.06,0.38,2.74,0.0
28,25982,33205901,🚕 Проверка уровня повреждений ТС на фото,,2022-04-29T06:56:17.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,4.8,,0.588785,0.04,0.22,1.6,0.0
29,25985,33798116,🚕 Проверка уровня загрязненности ТС на фото,,2022-06-06T18:50:20.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,,,0.0,,,,0.0
30,26364,19160335,Сравнение переводов слов и словосочетаний  [ru-en],Помогите нам сравнить пару переводов для слова/фразы и выбрать лучший из них.,2021-05-12T08:37:57.000Z,1,1,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.91,,0.610169,,,,0.0
31,26758,36594894,🚕 Проверка качества фото ТС,Помогите нам отсеять некачественные фотографии автомобилей такси,2022-11-28T07:30:10.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,4.95,,0.0,0.05,0.27,1.44,0.0
32,26781,35175029,🚕 Проверка брендинга ТС на фото,,2022-08-31T15:08:44.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,4.9,,0.0,0.06,1.0,5.03,0.0
33,27046,7506224,Проверка авторитетности источников,"Скажите, является ли источник авторитетным",2020-12-18T12:24:01.000Z,1,0,f07340a2442141020533729af20d55db,1,,4.96,,1.02857,0.0,0.15,,0.0
34,29642,36439936,Dbrain: проверка и перепечатка текста,Сравните картинку с трeбуемыми полями и выберите правильный вариант,2022-12-09T15:48:45.000Z,0,0,69e28f199d9f78031fa15aac2ecc3468,0,,4.91,,0.215569,0.05,0.31,2.95,0.0
35,29642,36439937,Dbrain: проверка и перепечатка текста,Сравните картинку с трeбуемыми полями и выберите правильный вариант,2022-11-29T16:15:13.000Z,0,0,69e28f199d9f78031fa15aac2ecc3468,0,,4.91,,0.215569,0.05,0.33,3.03,0.0
36,29642,36439941,Dbrain: проверка и перепечатка текста,🎯🎯🎯 Перепечатайте текст на картинке в поле для ввода.,2022-12-10T11:04:52.000Z,0,0,69e28f199d9f78031fa15aac2ecc3468,0,,4.91,,0.215569,0.05,0.36,2.59,0.01
37,29642,36439942,Dbrain: проверка и перепечатка текста,🎯🎯🎯 Перепечатайте текст на картинке в поле для ввода.,2022-11-29T15:12:05.000Z,0,0,69e28f199d9f78031fa15aac2ecc3468,0,,4.91,,0.215569,0.05,0.33,3.03,0.0
38,29642,36439943,Dbrain: проверка и перепечатка текста,🎯🎯🎯 Перепечатайте текст на картинке в поле для ввода.,2022-12-09T15:08:46.000Z,0,0,69e28f199d9f78031fa15aac2ecc3468,0,,4.91,,0.646707,0.05,0.31,2.95,0.0
39,30742,32506716,Геопоиск: Разметка запроса на геоинтент (Карты)/ Geointent query markup (Maps),,2022-12-06T07:55:20.000Z,1,0,74a7891f1db2d9db15433a001332ad37,1,,4.96,,1.13684,0.09,0.59,9.33,0.0
40,32239,19851668,Сравнение переводов немецких слов и словосочетаний [de-ru],Помогите нам сравнить пару переводов для слова/фразы и выбрать лучший из них.,2020-12-28T17:49:25.000Z,1,0,b4e4d09c6bbee0fb99813d53d082e4b0,1,,5.0,,0.610169,0.0,0.09,,0.0
41,32746,20609208,Проверка актуальности информации в ответе на запрос (v. 1.2),Вам необходимо проверить точность информации в ответе на запрос относительно указанной даты.,2021-04-21T11:12:08.000Z,1,0,f07340a2442141020533729af20d55db,1,,4.79,,0.553846,0.08,0.08,1.53,0.0
42,33271,29031810,"Бок-о-бок, рекламные объявления",Отборочное задание. Сравнить 2 рекламных объявления и выбрать лучший. После успешного прохождения отбора будут доступны задания по 1 сравнению за 0.01 цент.,2022-08-19T12:39:09.000Z,1,1,c1c61111c8d09395879f6755bc22a679,1,,4.75,,0.0,0.0,0.06,0.13,0.0
43,33528,14836521,Сравнение переводов русских слов и словосочетаний на немецкий язык,Помогите нам сравнить пару переводов для слова/фразы и выбрать лучший из них.,2021-01-13T09:59:05.000Z,1,0,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.99,,0.727273,0.0,0.15,,0.0
44,34292,35209089,Размечаем на самолечение и вред здоровью,"Пожалуйста, прочитайте инструкцию перед выполнением заданий проекта. Сначала вы выполняете бесплатное обучение, лишь затем вы приступаете к боевым заданиям.",2022-09-02T15:08:32.000Z,1,1,faad0eef505a8be86ef9f6c7a4a0bd1e,1,,4.96,,0.0,0.02,0.05,0.17,0.0
45,35182,31420772,Модерация акционных предложений,Это экзамен для задания по проверке соответствия акционных предложений указанным требованиям.,2022-04-07T10:30:05.000Z,1,0,eb869068a96b24bdd90fd387ef9addf8,1,,4.92,,0.734694,0.03,0.25,,0.0
46,38481,34952756,Расшифровка номеров домов,,2022-08-17T18:31:34.000Z,1,0,48bbfae4a3e13dc36fdc83db62998214,1,,,,0.295082,0.01,0.02,,0.0
47,39102,31519194,Проверка номера ОГРН/ОГРНИП,"Проверьте, соответствует ли введённый пользователем номер ОГРН/ОГРНИП номеру на документе.",2022-12-05T09:21:44.000Z,1,0,eb869068a96b24bdd90fd387ef9addf8,1,,4.9,,0.0,0.01,0.03,0.06,0.0
48,39131,32359052,Изображение хорошее?,"Экзаменационный пул проекта ""Изображение хорошее?"". После успешного прохождения будут доступны задания с динамическое ценообразование +1 цент за повышенные навыки.",2022-10-28T16:35:30.000Z,1,1,952e5619e420d3872f88fa12cdc99bfc,1,,4.75,,0.0,0.03,0.36,2.65,0.0
49,41373,21227367,🏎Проверка загрязнений/повреждений интерьера машины,,2022-05-12T15:34:57.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,4.96,,0.0,0.04,0.4,1.71,0.0
50,41730,17259830,Выбор лучшего перевода [fr->ru] ,"Помогите нам понять, какой из двух представленных переводов исходного предложения лучше. А, может быть, они одинаковы по качеству? ",2022-01-25T18:08:37.000Z,1,0,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.89,,0.765958,0.0,0.11,,0.0
51,41862,32487748,Модерация портфолио: фото,Экзамен.,2022-04-07T08:53:51.000Z,1,0,fa517ea3113e489138d249ff9844f572,1,,4.8,,1.0,0.01,0.01,,0.0
52,42157,36635044,Creation of English Ad Title,"In the task, you have to create an ad title based on the information presented on the website.",2022-12-02T14:26:59.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.87,32130.0,1.81818,0.24,0.63,,0.0
53,42157,36666064,Creation of English Ad Title,"In the task, you have to create an ad title based on the information presented on the website.",2022-12-04T14:16:30.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.85,24428.0,1.69811,0.2,0.55,,0.0
54,42157,36693065,Creation of English Ad Title,"In the task, you have to create an ad title based on the information presented on the website.",2022-12-06T14:20:46.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.85,19466.0,1.81818,0.15,0.35,,0.0
55,42157,36740380,Creation of English Ad Title,"In the task, you have to create an ad title based on the information presented on the website.",2022-12-09T14:16:10.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.86,16525.0,1.73077,0.17,0.5,,0.0
56,42346,26551873,Validation of English Ad Title,"In this task, you need to judge if the ad title is good for the according landing page",2021-08-03T08:27:14.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.82,,0.947368,0.04,0.17,,0.0
57,43163,33322949,Film your face on the webcam or laptop,Film yourself on the webcam or laptop,2022-11-24T13:29:09.000Z,1,1,c69b008e44d038469bf39335173dce31,0,,,161246.0,1.06806,0.09,0.26,,0.0
58,43163,33323370,Film your face on the webcam or laptop,Film yourself on the webcam or laptop,2022-10-26T12:14:10.000Z,1,1,c69b008e44d038469bf39335173dce31,0,,,161182.0,1.06806,0.09,0.26,,0.0
59,43163,33325075,Film your face on the webcam or laptop,Film yourself on the webcam or laptop,2022-11-24T13:28:05.000Z,1,1,c69b008e44d038469bf39335173dce31,0,,,161182.0,1.06806,0.09,0.26,,0.0
60,43625,26552123,Validation of English Ad Description,"In this task, you need to judge if the ad description is good for the according landing page",2021-08-09T06:46:40.000Z,1,0,f9929ed584566a9c0b97e78c963e374f,0,,4.73,,0.923077,0.0,0.17,,0.0
61,43632,36636226,Creation of English Ad Description,"In the task, you have to create an ad description based on the information presented on the website.",2022-12-02T14:44:50.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.84,28847.0,1.74194,0.23,0.69,,0.0
62,43632,36666782,Creation of English Ad Description,"In the task, you have to create an ad description based on the information presented on the website.",2022-12-04T14:30:21.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.82,27066.0,1.6,0.18,0.58,,0.0
63,43632,36693534,Creation of English Ad Description,"In the task, you have to create an ad description based on the information presented on the website.",2022-12-06T14:26:01.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.81,14663.0,1.66154,0.15,0.32,,0.0
64,43632,36740587,Creation of English Ad Description,"In the task, you have to create an ad description based on the information presented on the website.",2022-12-09T14:24:03.000Z,1,1,f9929ed584566a9c0b97e78c963e374f,0,,4.84,21712.0,1.62406,0.18,0.6,,0.0
65,44086,21057239,Разметка упоминаний из соцсетей на важность,"Помогите определить важность упоминания, опираясь на инструкцию.",2022-11-06T20:23:14.000Z,1,0,81029b6e4b04badacad20d15ff3998e0,1,,4.95,,0.537313,0.01,0.07,0.93,0.0
66,44281,18781254,Действительно ли на фото тот самый объект,"В интерфейсе будет показана картинка и написан один из классов: ""Человек"", ""Машина"", ""Дорожный знак"" и.т.д. - вам необходимо определить действительно ли объект на картинке относится к искомому классу",2020-12-07T09:49:59.000Z,1,0,380365d34353e9b5171b3f8f64c6c555,1,,4.65,,0.0,,,,0.0
67,44824,19164762,Select the best translation [fr->en] ,In this task you will be shown a French sentence together with two translations of it into English. These translations were produced by machine translation systems. You need to decide which is the best translation.,2020-12-11T11:53:49.000Z,1,1,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.74,,0.615385,0.0,0.09,,0.0
68,44911,34864841,Оцените перевод блока текста на картинке [en->ru],Найдите на картинке выделенный текст и оцените качество перевода этого блока.,2022-08-13T14:19:44.000Z,1,1,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.74,,0.8,0.0,0.35,,0.0
69,45741,21153257,Primary category for a local business (V3),Select Category from the list that best identifies business ,2022-05-26T00:03:14.000Z,1,0,97e0e18092318a1140eb08402e7cc5ac,0,,4.74,,0.489796,0.04,0.18,0.78,0.0
70,46336,33519986,Модерация фото водителей,"Нужно проверить, соответсвует ли фото водителя простым критериям и определить место съемки фотографии.",2022-05-19T16:02:23.000Z,1,0,ac857b8ce02e84e737917295da49bee1,1,,4.92,,0.761905,0.04,0.24,1.09,0.0
71,46352,36472799,Отбор исполнителей для оценки визуальных изменений,"Опрос является тестовым для определения пользователей с необходимым визуальным представлениям. После прохождения для вас будет в ближайшее время рассчитан балл визуального восприятия и открыт доступ к премиальным заданиям. 

Посмотрите на изображение интерфейса и выберете наиболее подходящие для описания слова из предложенного набора. В задании будет предложено несколько интерфейсов.",2022-11-20T23:35:16.000Z,1,0,c1c61111c8d09395879f6755bc22a679,1,,4.79,,0.356436,0.04,0.04,,0.0
72,46352,36575604,Отбор исполнителей для оценки визуальных изменений,"Опрос является тестовым для определения пользователей с необходимым визуальным представлениям. После прохождения для вас будет в ближайшее время рассчитан балл визуального восприятия и открыт доступ к премиальным заданиям. 

Посмотрите на изображение интерфейса и выберете наиболее подходящие для описания слова из предложенного набора. В задании будет предложено несколько интерфейсов.",2022-11-26T22:33:11.000Z,1,0,c1c61111c8d09395879f6755bc22a679,1,,,,0.358209,0.04,0.04,,0.0
73,46352,36618895,Отбор исполнителей для оценки визуальных изменений,"Опрос является тестовым для определения пользователей с необходимым визуальным представлениям. После прохождения для вас будет в ближайшее время рассчитан балл визуального восприятия и открыт доступ к премиальным заданиям. 

Посмотрите на изображение интерфейса и выберете наиболее подходящие для описания слова из предложенного набора. В задании будет предложено несколько интерфейсов.",2022-11-29T15:38:11.000Z,1,0,c1c61111c8d09395879f6755bc22a679,1,,4.82,,0.362721,0.04,0.04,,0.0
74,46352,36670339,Отбор исполнителей для оценки визуальных изменений,"Опрос является тестовым для определения пользователей с необходимым визуальным представлениям. После прохождения для вас будет в ближайшее время рассчитан балл визуального восприятия и открыт доступ к премиальным заданиям. 

Посмотрите на изображение интерфейса и выберете наиболее подходящие для описания слова из предложенного набора. В задании будет предложено несколько интерфейсов.",2022-12-02T21:33:11.000Z,1,0,c1c61111c8d09395879f6755bc22a679,1,,4.66,,0.366412,0.04,0.04,,0.0
75,46352,36715812,Отбор исполнителей для оценки визуальных изменений,"Опрос является тестовым для определения пользователей с необходимым визуальным представлениям. После прохождения для вас будет в ближайшее время рассчитан балл визуального восприятия и открыт доступ к премиальным заданиям. 

Посмотрите на изображение интерфейса и выберете наиболее подходящие для описания слова из предложенного набора. В задании будет предложено несколько интерфейсов.",2022-12-06T03:32:48.000Z,1,0,c1c61111c8d09395879f6755bc22a679,1,,4.69,,0.364557,0.04,0.04,,0.0
76,46352,36782236,Отбор исполнителей для оценки визуальных изменений,"Опрос является тестовым для определения пользователей с необходимым визуальным представлениям. После прохождения для вас будет в ближайшее время рассчитан балл визуального восприятия и открыт доступ к премиальным заданиям. 

Посмотрите на изображение интерфейса и выберете наиболее подходящие для описания слова из предложенного набора. В задании будет предложено несколько интерфейсов.",2022-12-10T11:43:34.000Z,1,0,c1c61111c8d09395879f6755bc22a679,1,,4.69,,0.358209,0.04,0.04,,0.04
77,46699,21484824,Личная медицинская тема,"Обучение из 30 заданий.
Мы хотим оградить пользователей от преследований рекламой, которая может их скомпрометировать или шокировать окружающих. Для этого нам важно отделять рекламу товаров и услуг, которую могли искать для решения личной медицинской проблемы.",2022-04-20T12:46:30.000Z,1,1,952e5619e420d3872f88fa12cdc99bfc,1,,4.74,,0.0,0.01,0.01,0.02,0.0
78,48996,22161885,Разметка упоминаний Объекта в соцсетях по типам,"Задание на разметку сообщений по четырём типам
",2022-10-18T17:19:50.000Z,1,0,81029b6e4b04badacad20d15ff3998e0,1,,4.94,,1.63636,0.0,0.42,3.98,0.0
79,49039,34415725,Разметка упоминаний Объекта в соцсетях по темам,"Задание на разметку сообщений по темам упоминаний
",2022-11-15T11:34:43.000Z,1,0,81029b6e4b04badacad20d15ff3998e0,1,,4.91,,0.356436,0.05,0.2,0.38,0.0
80,49390,36770631,Entity image selection,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",2022-12-09T15:07:41.000Z,1,1,81ae1299dd10f764a6e59ac1c08a8a18,0,,4.92,,2.14286,0.04,0.06,,0.0
81,49390,36775179,Entity image selection,"From the selection of images for the entity(person/place/thing), use the guidelines in the instructions to select the best image.",2022-12-09T22:25:32.000Z,1,1,81ae1299dd10f764a6e59ac1c08a8a18,0,,4.92,,2.16867,0.04,0.06,,0.0
82,49820,32425566,Выбор лучшего перевода [en->ru],"Помогите нам понять, какой из двух представленных переводов исходного предложения лучше. А, может быть, они одинаковы по качеству? ",2022-03-17T15:04:00.000Z,1,0,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.5,,1.71429,0.12,1.2,6.31,0.0
83,49822,22658605,"Сравнение переводов английских слов и словосочетаний [en-ru] с кнопкой ""одинаково""",Помогите нам сравнить пару переводов для слова/фразы и выбрать лучший из них.,2021-03-31T17:08:00.000Z,1,0,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.91,,0.808989,,,,0.0
84,50601,36026064,[Толока] Тест на понимание русского языка,"Пройдите тест и получите больше оплачиваемых заданий. 
После успешного выполнения, у вас появятся задания, которые не видят пользователи без подтвержденного языка.",2022-10-24T14:26:02.000Z,0,0,71daea4cffae4488067aebfb6583914a,0,RU,4.78,,0.0,,,,0.0
85,50930,35728451,[Toloka] 日本語能力テスト,"テストを受けてより多くの有料タスクを獲得してください。
テストに合格すれば、言語スキルを証明したユーザー限定のタスクを獲得できます。",2022-10-05T08:53:57.000Z,1,0,71daea4cffae4488067aebfb6583914a,0,RU,,,0.0,,,,0.0
86,51403,34065912,[Toloka] Test de compréhension de la langue française,"Effectuez le test et obtenez davantage de tâches rémunérées.
Si vous le réussissez, vous obtiendrez des tâches disponibles uniquement aux utilisateurs avec des compétences linguistiques confirmées.",2022-06-24T06:58:34.000Z,0,0,71daea4cffae4488067aebfb6583914a,0,FR,3.32,,0.0,,,,0.0
87,51848,34010501,Разметка релевантности поискового запроса для Путешествий,"Для гостиниц, отелей и т.п. необходимо оценить на релевантность поисковый запрос",2022-06-23T09:45:13.000Z,1,0,3e08ae95274e303af090b03636da4b5b,1,,5.0,,0.165138,0.0,0.04,,0.0
88,52090,23820883,Геопоиск: Разметка запросов на геотипизацию,"В задании нужно определить тип организации, указанной в запросе, и отметить, присутствует ли география в запросе.",2022-12-06T07:58:53.000Z,1,0,74a7891f1db2d9db15433a001332ad37,1,,4.78,,1.45161,0.0,0.65,8.16,0.0
89,52373,36030596,Сделайте селфи-фото с компьютера,В данном задании необходимо сделать селфи-фото на встроенную/внешнюю веб-камеру компьютера/ноутбука,2022-10-24T20:23:55.000Z,1,0,030ece62941d6939881f89071d3046f0,0,,,423880.0,0.520231,0.04,0.04,,0.05
90,53027,24392996,Сопоставление 2D изображений,Это задание является отборочным/реабилитационным. По его результатам вы можете быть подключены к выполнению платных заданий на постоянной основе,2021-08-04T11:27:53.000Z,1,0,380365d34353e9b5171b3f8f64c6c555,1,,,,0.0,,,,0.0
91,54170,35422387,Microsoft Bing App test,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",2022-09-15T08:17:22.000Z,1,1,cac5dc1b192cc52dc166e5a1fecf6161,0,EN,4.54,,0.0,,,,0.0
92,54170,35422409,Microsoft Bing App test,"Hello performer,
First of all, you are welcome to participate in our activity. This activity is divided into two steps. You need to complete a short quiz and complete the following questions as required. If your accuracy is up to the standard, you can pass the quiz and enter the formal test Event, after the official event is reached, you can receive the reward you want; on the contrary, if the accuracy rate in the following test is not up to the standard or you do not respond as required, it will be regarded as a failure, and you will not be able to participate in the subsequent activities. I believe everyone It can be done, let's start now, come on!",2022-09-15T08:19:00.000Z,1,1,cac5dc1b192cc52dc166e5a1fecf6161,0,EN,4.54,,0.0,,,,0.0
93,54316,25108691,Какой текст лучше? ,"Нужно сравнить два текста и сказать, какой из них лучше",2022-11-08T09:34:36.000Z,1,1,b4e4d09c6bbee0fb99813d53d082e4b0,1,,4.47,,0.503496,0.0,0.25,0.91,0.0
94,55119,26098094,Классификация транспортных средств[v2],Это экзамен/реабилитация при успешном выполнении будет открыт доступ к боевым заданиям,2022-05-23T13:32:30.000Z,1,0,380365d34353e9b5171b3f8f64c6c555,1,,4.72,,0.0,,,,0.0
95,56713,36490072,Сделайте фото с изображением лица с телевизора на мобильный телефон,Сделать на смартфон фото с изображением лица с телевизора.,2022-11-22T00:33:05.000Z,1,0,030ece62941d6939881f89071d3046f0,0,,4.97,735074.0,0.702439,,,,0.0
96,56713,36621167,Сделайте фото с изображением лица с телевизора на мобильный телефон,Сделать на смартфон фото с изображением лица с телевизора.,2022-11-29T18:27:01.000Z,1,0,030ece62941d6939881f89071d3046f0,0,,4.97,253104.0,0.753927,,,,0.0
